episode,reward,steps
577,-6.3,20
578,-2.8999999999999986,15
579,-10.2,20
580,-7.6,20
581,0.20000000000000462,35
582,-2.799999999999998,20
583,-5.6,15
584,-11.1,20
585,-12.0,20
586,-3.799999999999998,20
587,-5.2,20
588,-0.4999999999999982,20
589,-1.0999999999999979,20
590,-9.1,15
591,-10.2,5
592,-4.099999999999999,20
593,-10.8,35
594,-4.499999999999996,20
595,7.500000000000005,35
596,-5.2,20
597,-11.0,10
598,-7.199999999999999,20
599,-10.5,5
600,-10.5,5
601,-7.5,20
602,-10.5,20
603,-11.0,10
604,-4.399999999999995,35
605,9.099999999999989,55
606,-3.3999999999999986,20
607,6.1,35
608,-10.6,15
609,-10.5,5
610,-3.599999999999996,20
611,-10.5,5
612,-6.5,5
613,-9.7,15
614,0.40000000000000036,15
615,-3.299999999999999,15
616,-10.7,10
617,-10.9,15
618,-11.0,10
619,-10.1,10
620,-10.5,5
621,-9.7,15
622,-7.0,20
623,-11.0,10
624,-9.2,20
625,-8.2,10
626,-6.199999999999999,20
627,-4.8999999999999995,20
628,-3.6999999999999984,20
629,-5.2,20
630,-6.1,20
631,-9.9,5
632,-5.899999999999995,35
633,-10.0,15
634,-10.5,5
635,2.5000000000000036,20
636,-4.999999999999999,15
637,-4.799999999999998,15
638,-10.5,5
639,-11.2,15
640,-10.0,15
641,-5.3999999999999995,15
642,-8.1,15
643,0.1000000000000032,35
644,-11.2,15
645,-6.8999999999999995,35
646,0.7000000000000028,35
647,-7.6,15
648,-4.599999999999999,15
649,-5.699999999999998,15
650,-4.8999999999999995,20
651,-4.0,55
652,-9.4,15
653,-9.9,20
654,-11.0,10
655,-4.699999999999997,20
656,-10.5,5
657,-5.399999999999993,40
658,-9.9,5
659,-8.6,20
660,-10.5,5
661,-5.8,15
662,2.5000000000000036,20
663,-10.0,15
664,2.0000000000000053,35
665,-11.1,20
666,-4.299999999999999,20
667,0.09999999999999964,20
668,-4.3,20
669,-0.8999999999999986,15
670,-6.3999999999999995,15
671,-11.0,10
672,-10.2,5
673,-4.399999999999992,40
674,0.5000000000000018,20
675,-0.5999999999999872,55
676,-4.8999999999999995,20
677,-9.7,10
678,-6.199999999999999,20
679,-6.199999999999996,35
680,-5.3,20
681,-7.0,20
682,-10.2,5
683,-6.0,20
684,-7.199999999999999,20
685,0.5000000000000036,20
686,-11.7,20
687,-11.0,10
688,-10.5,5
689,-0.8999999999999986,20
690,-8.8,15
691,-7.6,15
692,-8.5,20
693,-11.1,20
694,-10.5,5
695,-11.1,20
696,-2.099999999999998,20
697,-10.5,5
698,-10.5,5
699,-8.2,20
700,2.8000000000000025,20
701,-6.199999999999999,20
702,-9.799999999999999,20
703,-11.0,10
704,-8.3,10
705,-4.299999999999996,20
706,-11.0,10
707,-4.3999999999999995,20
708,-10.4,10
709,-3.999999999999999,20
710,-10.7,10
711,-4.999999999999996,35
712,-10.5,5
713,-9.8,20
714,-1.5999999999999979,35
715,-3.699999999999995,35
716,-7.1,15
717,-6.399999999999995,40
718,-11.0,10
719,-9.3,35
720,0.8000000000000025,15
721,-10.5,5
722,-10.2,5
723,3.5000000000000036,40
724,-10.9,15
725,-10.2,5
726,-8.1,10
727,-10.5,20
728,-9.2,5
729,-9.2,20
730,-12.5,25
731,1.5000000000000124,80
732,0.10000000000000675,30
733,-12.5,25
734,-5.5,20
735,-8.600000000000001,35
736,1.6000000000000032,20
737,0.6000000000000032,20
738,-2.499999999999991,55
739,2.900000000000002,20
740,-11.0,10
741,-6.699999999999997,40
742,-11.0,10
743,8.599999999999993,55
744,-10.5,5
745,4.400000000000006,40
746,-10.5,5
747,-9.299999999999999,5
748,-10.2,5
749,4.700000000000006,35
750,-11.5,15
751,-12.5,25
752,3.6000000000000068,35
753,-10.7,10
754,-6.099999999999999,15
755,-10.5,5
756,-10.5,5
757,-9.799999999999999,10
758,-10.299999999999999,15
759,-11.2,15
760,-5.799999999999999,55
761,-7.199999999999999,15
762,-11.0,10
763,-6.5,5
764,-10.5,5
765,-4.399999999999998,15
766,-3.9999999999999973,15
767,-10.6,15
768,-10.6,15
769,-2.9999999999999973,15
770,2.600000000000003,35
771,-0.29999999999999893,15
772,-6.0,15
773,-10.5,5
774,-7.8999999999999995,15
775,2.100000000000005,35
776,-1.9999999999999982,15
777,-4.3999999999999995,10
778,3.900000000000011,55
779,-2.599999999999998,20
780,-4.099999999999999,15
781,-4.6,20
782,-9.799999999999999,10
783,-11.5,15
784,-4.299999999999997,15
785,1.799999999999999,35
786,-10.5,5
787,-5.999999999999999,15
788,-3.6999999999999984,15
789,-1.6999999999999957,35
790,-10.5,5
791,-6.5,20
792,-10.5,5
793,-14.200000000000001,45
794,3.5000000000000018,35
795,3.5000000000000036,20
796,2.8000000000000025,20
797,-6.5,20
798,-10.5,5
799,-11.0,10
800,-10.5,5
801,-1.9999999999999964,20
802,-10.5,5
803,-6.899999999999999,20
804,-1.7999999999999972,20
805,-8.3,20
806,-8.4,20
807,-7.8999999999999995,20
808,-11.0,10
809,-9.2,20
810,-5.999999999999994,40
811,-6.9,40
812,-10.5,5
813,-10.5,5
814,-10.0,15
815,-0.8999999999999968,20
816,-10.5,5
817,-10.5,5
818,3.8000000000000025,40
819,-5.5,20
820,-1.1999999999999975,20
821,-2.6999999999999957,35
822,-2.3999999999999977,15
823,-7.0,15
824,-10.9,15
825,-8.6,10
826,0.40000000000000213,15
827,2.200000000000001,20
828,-5.599999999999998,40
829,16.599999999999916,95
830,-5.099999999999999,15
831,-2.299999999999998,15
832,-10.5,5
833,-8.9,10
834,-11.0,10
835,-11.0,10
836,-1.0000000000000018,20
837,-11.0,10
838,-10.5,5
839,-9.799999999999999,10
840,-8.2,15
841,-11.4,20
842,-5.299999999999999,20
843,-13.0,30
844,-10.5,5
845,-11.0,10
846,-0.5,20
847,-9.6,5
848,-5.8999999999999995,20
849,-7.3999999999999995,20
850,1.0999999999999996,20
851,-7.199999999999999,20
852,-10.5,5
853,-6.799999999999999,20
854,-8.5,20
855,-10.5,5
856,2.6000000000000103,60
857,-10.5,5
858,-10.7,10
859,-2.1999999999999984,20
860,2.1000000000000014,20
861,-10.5,20
862,-6.199999999999999,20
863,-4.099999999999998,20
864,-6.3999999999999995,20
865,-5.499999999999999,10
866,-10.2,5
867,-12.4,30
868,-4.099999999999995,20
869,-10.7,10
870,-9.9,5
871,-10.9,15
872,-1.3999999999999986,35
873,1.1000000000000014,15
874,-2.9999999999999973,15
875,-1.9999999999999982,10
876,-7.5,35
877,-9.7,15
878,1.8000000000000025,15
879,5.19999999999999,75
880,-11.0,10
881,-4.099999999999999,10
882,-2.599999999999998,20
883,3.0000000000000018,40
884,-4.3999999999999995,35
885,-6.6,20
886,-1.8999999999999844,60
887,-10.2,5
888,-9.1,10
889,-6.199999999999999,20
890,-3.999999999999999,20
891,-1.1999999999999975,20
892,-6.199999999999999,20
893,-9.7,15
894,-10.5,5
895,-0.5,35
896,-0.7999999999999989,35
897,-10.5,5
898,9.699999999999976,155
899,-3.999999999999999,55
900,-9.799999999999999,10
901,-1.599999999999989,55
902,-8.5,15
903,-10.5,5
904,-0.5,20
905,-5.499999999999999,10
906,-7.0,20
907,-9.6,5
908,-1.1999999999999975,20
909,2.100000000000003,20
910,-10.5,5
911,-9.799999999999999,10
912,-6.5,20
913,-4.199999999999998,20
914,-2.2999999999999963,20
915,-4.799999999999999,20
916,-11.0,10
917,-1.4999999999999982,20
918,-11.0,10
919,-9.299999999999999,5
920,-8.9,10
921,-11.0,10
922,-10.5,5
923,9.599999999999993,35
924,-8.5,20
925,-2.1999999999999975,40
926,-10.5,5
927,-6.499999999999999,10
928,-11.0,10
929,-1.9999999999999982,10
930,-10.2,5
931,-9.299999999999999,5
932,-0.899999999999995,95
933,-12.0,20
934,-8.8,10
935,-1.8999999999999986,20
936,0.400000000000011,60
937,-10.5,5
938,-5.8,20
939,10.499999999999973,55
940,-8.7,40
941,-7.799999999999999,10
942,-5.5,20
943,0.8000000000000025,20
944,-0.5999999999999837,135
945,-3.0999999999999943,35
946,-5.0,20
947,-5.5,20
948,-9.799999999999999,10
949,-11.0,10
950,-2.3999999999999977,15
951,-5.0999999999999925,30
952,-9.6,5
953,-4.9,35
954,-8.4,15
955,-10.5,5
956,-10.5,5
957,-3.6999999999999975,15
958,-9.6,5
959,-10.2,5
960,-3.599999999999996,35
961,0.20000000000000284,35
962,-7.3999999999999995,15
963,-8.3,10
964,-3.099999999999998,35
965,-3.999999999999994,35
966,-10.5,5
967,-5.499999999999999,15
968,-5.899999999999999,15
969,-4.099999999999998,15
970,-5.8999999999999995,15
971,6.3000000000000025,20
972,-10.5,5
973,-10.0,15
974,-11.0,10
975,-8.2,10
976,1.1000000000000014,15
977,0.8000000000000025,15
978,-3.6999999999999984,15
979,9.89999999999999,35
980,-0.5,20
981,-10.2,5
982,-4.899999999999994,35
983,-3.0999999999999934,35
984,4.200000000000005,55
985,-6.6,15
986,-10.5,5
987,-6.499999999999998,15
988,-9.7,15
989,-0.8999999999999986,15
990,-1.1999999999999975,20
991,-8.4,35
992,-5.5,20
993,-2.9999999999999964,40
994,4.200000000000005,35
995,-10.5,5
996,1.500000000000007,35
997,-0.3000000000000007,15
998,-10.5,5
999,-8.2,15
1000,9.699999999999983,55
1001,-4.299999999999997,15
1002,-5.799999999999999,10
1003,-11.0,10
1004,-11.0,10
1005,-1.2999999999999972,15
1006,-9.299999999999999,5
1007,-8.2,10
1008,-8.8,10
1009,-5.6,20
1010,-3.599999999999998,20
1011,-6.199999999999999,20
1012,-5.1,20
1013,-11.0,10
1014,-8.5,20
1015,-8.2,10
1016,10.299999999999985,55
1017,-6.6,20
1018,-11.0,10
1019,-7.799999999999999,15
1020,-11.5,15
1021,-2.9999999999999973,15
1022,-7.199999999999999,10
1023,-9.9,5
1024,-7.1,10
1025,-6.5,20
1026,-5.8,20
1027,-5.7,15
1028,9.799999999999935,100
1029,1.1000000000000014,20
1030,-7.199999999999999,20
1031,-0.5999999999999996,15
1032,0.5000000000000036,20
1033,-10.5,5
1034,-3.8999999999999986,20
1035,-10.5,5
1036,-7.399999999999999,15
1037,-9.0,20
1038,-10.5,5
1039,-11.0,10
1040,-3.299999999999997,40
1041,-10.5,5
1042,-9.9,5
1043,-10.5,5
1044,4.000000000000005,55
1045,-5.999999999999998,15
1046,-3.199999999999994,35
1047,-6.599999999999998,15
1048,-6.8,20
1049,-11.0,10
1050,-1.9999999999999982,15
1051,-2.6999999999999975,15
1052,-6.699999999999999,15
1053,5.600000000000016,55
1054,-6.399999999999999,15
1055,12.699999999999969,55
1056,-7.0,15
1057,-6.399999999999999,15
1058,-10.5,5
1059,1.6000000000000085,35
1060,-9.1,10
1061,-0.5999999999999979,15
1062,-8.9,5
1063,-10.1,10
1064,-6.799999999999999,15
1065,-5.6,20
1066,-10.1,10
1067,-13.0,30
1068,-13.0,30
1069,-5.8999999999999995,20
1070,-11.0,10
1071,-1.699999999999985,60
1072,-3.4999999999999982,20
1073,-11.0,10
1074,-11.0,10
1075,-7.6,20
1076,-3.3999999999999986,20
1077,10.199999999999994,35
1078,-9.9,5
1079,-10.5,5
1080,-2.899999999999996,35
